2025-0502 15:46:06 INFO     未找到特征数据，将不使用特征。
2025-0502 15:53:33 DEBUG    epoch 2-step 300 loss: 7.163428
2025-0502 15:54:00 DEBUG    epoch 2-step 400 loss: 6.978444
2025-0502 15:54:17 INFO     precision: 0.908358
2025-0502 15:54:17 INFO     recall: 0.915911
2025-0502 15:54:17 INFO     fscore: 0.912119
2025-0502 15:54:17 INFO     model has been saved in save/CWS\model_epoch2.pkl
2025-0502 15:54:42 DEBUG    epoch 3-step 100 loss: 6.680031
2025-0502 15:55:15 DEBUG    epoch 3-step 200 loss: 6.621128
2025-0502 15:55:45 DEBUG    epoch 3-step 300 loss: 6.500259
2025-0502 15:56:16 DEBUG    epoch 3-step 400 loss: 6.368361
2025-0502 15:56:34 INFO     precision: 0.916443
2025-0502 15:56:34 INFO     recall: 0.923925
2025-0502 15:56:34 INFO     fscore: 0.920169
2025-0502 15:56:34 INFO     model has been saved in save/CWS\model_epoch3.pkl
2025-0502 15:57:06 DEBUG    epoch 4-step 100 loss: 6.224094
2025-0502 15:57:35 DEBUG    epoch 4-step 200 loss: 6.153068
2025-0502 15:58:06 DEBUG    epoch 4-step 300 loss: 6.092405
2025-0502 15:59:02 DEBUG    epoch 4-step 400 loss: 6.032503
2025-0502 15:59:36 INFO     precision: 0.920286
2025-0502 15:59:36 INFO     recall: 0.929531
2025-0502 15:59:36 INFO     fscore: 0.924885
2025-0502 15:59:36 INFO     model has been saved in save/CWS\model_epoch4.pkl
2025-0502 16:00:29 DEBUG    epoch 5-step 100 loss: 5.877213
2025-0502 16:01:29 DEBUG    epoch 5-step 200 loss: 5.813981
2025-0502 16:02:26 DEBUG    epoch 5-step 300 loss: 5.776771
2025-0502 16:03:30 DEBUG    epoch 5-step 400 loss: 5.733243
2025-0502 16:04:06 INFO     precision: 0.923206
2025-0502 16:04:06 INFO     recall: 0.932654
2025-0502 16:04:06 INFO     fscore: 0.927906
2025-0502 16:04:06 INFO     model has been saved in save/CWS\model_epoch5.pkl
2025-0502 16:04:59 DEBUG    epoch 6-step 100 loss: 5.636103
2025-0502 16:05:58 DEBUG    epoch 6-step 200 loss: 5.616608
2025-0502 16:06:56 DEBUG    epoch 6-step 300 loss: 5.592139
2025-0502 16:07:55 DEBUG    epoch 6-step 400 loss: 5.518712
2025-0502 16:08:32 INFO     precision: 0.928486
2025-0502 16:08:32 INFO     recall: 0.935927
2025-0502 16:08:32 INFO     fscore: 0.932192
2025-0502 16:08:32 INFO     model has been saved in save/CWS\model_epoch6.pkl
2025-0502 16:09:33 DEBUG    epoch 7-step 100 loss: 5.461722
2025-0502 16:10:30 DEBUG    epoch 7-step 200 loss: 5.437361
2025-0502 16:11:28 DEBUG    epoch 7-step 300 loss: 5.410360
2025-0502 16:12:26 DEBUG    epoch 7-step 400 loss: 5.350530
2025-0502 16:13:01 INFO     precision: 0.931240
2025-0502 16:13:01 INFO     recall: 0.936040
2025-0502 16:13:01 INFO     fscore: 0.933634
2025-0502 16:13:01 INFO     model has been saved in save/CWS\model_epoch7.pkl
2025-0502 16:13:59 DEBUG    epoch 8-step 100 loss: 5.274045
2025-0502 16:14:50 DEBUG    epoch 8-step 200 loss: 5.302214
2025-0502 16:15:19 DEBUG    epoch 8-step 300 loss: 5.272218
2025-0502 16:15:49 DEBUG    epoch 8-step 400 loss: 5.239272
2025-0502 16:16:07 INFO     precision: 0.935652
2025-0502 16:16:07 INFO     recall: 0.939313
2025-0502 16:16:07 INFO     fscore: 0.937479
2025-0502 16:16:07 INFO     model has been saved in save/CWS\model_epoch8.pkl
2025-0502 16:16:36 DEBUG    epoch 9-step 100 loss: 5.177236
2025-0502 16:17:04 DEBUG    epoch 9-step 200 loss: 5.128725
2025-0502 16:17:34 DEBUG    epoch 9-step 300 loss: 5.153596
2025-0502 16:18:02 DEBUG    epoch 9-step 400 loss: 5.128588
2025-0502 16:18:20 INFO     precision: 0.936294
2025-0502 16:18:20 INFO     recall: 0.941683
2025-0502 16:18:20 INFO     fscore: 0.938981
2025-0502 16:18:20 INFO     model has been saved in save/CWS\model_epoch9.pkl
